coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod
"{'lon': 50.5832, 'lat': 26.2154}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 305.96, 'feels_like': 312.96, 'temp_min': 305.14, 'temp_max': 305.96, 'pressure': 1001, 'humidity': 74, 'sea_level': 1001, 'grnd_level': 1000}",10000,"{'speed': 2.57, 'deg': 300}",{'all': 0},1725584112,"{'type': 2, 'id': 2039996, 'country': 'BH', 'sunrise': 1725589195, 'sunset': 1725634346}",10800,290340,Manama,200
"{'lon': 90.4074, 'lat': 23.7104}","[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",stations,"{'temp': 301.14, 'feels_like': 306.69, 'temp_min': 301.14, 'temp_max': 301.14, 'pressure': 1003, 'humidity': 89, 'sea_level': 1003, 'grnd_level': 1003}",4000,"{'speed': 2.06, 'deg': 80}",{'all': 75},1725584081,"{'type': 1, 'id': 9145, 'country': 'BD', 'sunrise': 1725579721, 'sunset': 1725624709}",21600,1185241,Dhaka,200
"{'lon': -59.6167, 'lat': 13.1}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 301.42, 'feels_like': 307.57, 'temp_min': 301.42, 'temp_max': 301.42, 'pressure': 1012, 'humidity': 89, 'sea_level': 1012, 'grnd_level': 1010}",10000,"{'speed': 2.06, 'deg': 180}",{'all': 40},1725584114,"{'type': 1, 'id': 8772, 'country': 'BB', 'sunrise': 1725529657, 'sunset': 1725574009}",-14400,3374036,Bridgetown,200
"{'lon': 27.5667, 'lat': 53.9}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 286.69, 'feels_like': 285.8, 'temp_min': 286.69, 'temp_max': 286.69, 'pressure': 1027, 'humidity': 65, 'sea_level': 1027, 'grnd_level': 1000}",10000,"{'speed': 3.54, 'deg': 84, 'gust': 8.09}",{'all': 3},1725583868,"{'country': 'BY', 'sunrise': 1725593256, 'sunset': 1725641331}",10800,625144,Minsk,200
"{'lon': 4.3488, 'lat': 50.8504}","[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",stations,"{'temp': 291.61, 'feels_like': 291.89, 'temp_min': 290.47, 'temp_max': 292.23, 'pressure': 1010, 'humidity': 91, 'sea_level': 1010, 'grnd_level': 1003}",3400,"{'speed': 3.09, 'deg': 270}",{'all': 75},1725583819,"{'type': 1, 'id': 1227, 'country': 'BE', 'sunrise': 1725599077, 'sunset': 1725646651}",7200,2800866,Brussels,200
"{'lon': -88.7667, 'lat': 17.25}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 297.69, 'feels_like': 298.76, 'temp_min': 297.69, 'temp_max': 297.69, 'pressure': 1010, 'humidity': 98, 'sea_level': 1010, 'grnd_level': 997}",10000,"{'speed': 0.43, 'deg': 169, 'gust': 0.49}",{'all': 100},1725584117,"{'country': 'BZ', 'sunrise': 1725536526, 'sunset': 1725581129}",-21600,3582672,Belmopan,200
"{'lon': 2.6036, 'lat': 6.4965}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 296.75, 'feels_like': 297.46, 'temp_min': 296.75, 'temp_max': 296.75, 'pressure': 1013, 'humidity': 88, 'sea_level': 1013, 'grnd_level': 1011}",10000,"{'speed': 2.08, 'deg': 239, 'gust': 5.21}",{'all': 9},1725584118,"{'country': 'BJ', 'sunrise': 1725601309, 'sunset': 1725645257}",3600,2392087,Porto-Novo,200
"{'lon': 89.6419, 'lat': 27.4661}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 286.9, 'feels_like': 286.65, 'temp_min': 286.9, 'temp_max': 286.9, 'pressure': 1014, 'humidity': 89, 'sea_level': 1014, 'grnd_level': 704}",10000,"{'speed': 0.5, 'deg': 37, 'gust': 0.83}",{'all': 95},1725584119,"{'country': 'BT', 'sunrise': 1725579774, 'sunset': 1725625024}",21600,1252416,Thimphu,200
"{'lon': -68.15, 'lat': -16.5}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 282.91, 'feels_like': 280.8, 'temp_min': 282.91, 'temp_max': 283.14, 'pressure': 1022, 'humidity': 70, 'sea_level': 1022, 'grnd_level': 622}",8000,"{'speed': 4.12, 'deg': 70}",{'all': 40},1725584005,"{'type': 2, 'id': 2081273, 'country': 'BO', 'sunrise': 1725532541, 'sunset': 1725575220}",-14400,3911925,La Paz,200
"{'lon': 18.3564, 'lat': 43.8486}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 288.66, 'feels_like': 288.88, 'temp_min': 288.66, 'temp_max': 289.1, 'pressure': 1014, 'humidity': 100, 'sea_level': 1014, 'grnd_level': 906}",10000,"{'speed': 1.54, 'deg': 0}",{'1h': 0.21},{'all': 40},1725584121,"{'type': 2, 'id': 145110, 'country': 'BA', 'sunrise': 1725596163, 'sunset': 1725642844}",7200,3191281,Sarajevo,200
