coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod
"{'lon': -61.7485, 'lat': 12.0564}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 300.72, 'feels_like': 304.07, 'temp_min': 300.72, 'temp_max': 300.72, 'pressure': 1012, 'humidity': 79, 'sea_level': 1012, 'grnd_level': 1007}",10000,"{'speed': 2.87, 'deg': 77, 'gust': 3.4}",{'all': 0},1725585369,"{'country': 'GD', 'sunrise': 1725530200, 'sunset': 1725574489}",-14400,3579925,St. George's,200
"{'lon': -90.5133, 'lat': 14.6407}","[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",stations,"{'temp': 293.23, 'feels_like': 293.64, 'temp_min': 292.32, 'temp_max': 294.34, 'pressure': 1013, 'humidity': 90, 'sea_level': 1013, 'grnd_level': 847}",5000,"{'speed': 0.45, 'deg': 16, 'gust': 2.68}",{'all': 75},1725585111,"{'type': 1, 'id': 7079, 'country': 'GT', 'sunrise': 1725537026, 'sunset': 1725581467}",-21600,3598132,Guatemala City,200
"{'lon': -13.6773, 'lat': 9.538}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 299.07, 'feels_like': 299.88, 'temp_min': 299.07, 'temp_max': 299.07, 'pressure': 1012, 'humidity': 83, 'sea_level': 1012, 'grnd_level': 1011}",8303,"{'speed': 5.72, 'deg': 272, 'gust': 7.8}",{'1h': 0.99},{'all': 100},1725585119,"{'country': 'GN', 'sunrise': 1725605132, 'sunset': 1725649247}",0,2422465,Conakry,200
"{'lon': -15.5977, 'lat': 11.8636}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 298.99, 'feels_like': 299.8, 'temp_min': 298.99, 'temp_max': 298.99, 'pressure': 1010, 'humidity': 83, 'sea_level': 1010, 'grnd_level': 1008}",10000,"{'speed': 5.04, 'deg': 288, 'gust': 9.25}",{'all': 100},1725585372,"{'country': 'GW', 'sunrise': 1725605528, 'sunset': 1725649772}",0,2374775,Bissau,200
"{'lon': -58.1553, 'lat': 6.8045}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 299.68, 'feels_like': 299.68, 'temp_min': 299.68, 'temp_max': 299.68, 'pressure': 1011, 'humidity': 87, 'sea_level': 1011, 'grnd_level': 1011}",10000,"{'speed': 2.37, 'deg': 71, 'gust': 3.11}",{'all': 100},1725585373,"{'country': 'GY', 'sunrise': 1725529491, 'sunset': 1725573474}",-14400,3378644,Georgetown,200
"{'lon': -72.335, 'lat': 18.5392}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 300.48, 'feels_like': 303.64, 'temp_min': 300.48, 'temp_max': 300.48, 'pressure': 1014, 'humidity': 80, 'sea_level': 1014, 'grnd_level': 957}",10000,"{'speed': 0.69, 'deg': 74, 'gust': 0.71}",{'all': 100},1725585305,"{'country': 'HT', 'sunrise': 1725532541, 'sunset': 1725577228}",-14400,3718426,Port-au-Prince,200
"{'lon': -87.2068, 'lat': 14.0818}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 295.07, 'feels_like': 295.62, 'temp_min': 295.07, 'temp_max': 295.57, 'pressure': 1012, 'humidity': 88, 'sea_level': 1012, 'grnd_level': 864}",4000,"{'speed': 5.14, 'deg': 210}",{'1h': 0.5},{'all': 100},1725585336,"{'type': 2, 'id': 2000378, 'country': 'HN', 'sunrise': 1725536249, 'sunset': 1725580657}",-21600,3600949,Tegucigalpa,200
"{'lon': 19.0399, 'lat': 47.498}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 294.29, 'feels_like': 293.61, 'temp_min': 293.19, 'temp_max': 295.84, 'pressure': 1012, 'humidity': 44, 'sea_level': 1012, 'grnd_level': 991}",10000,"{'speed': 4.63, 'deg': 60}",{'all': 0},1725585264,"{'type': 2, 'id': 2009661, 'country': 'HU', 'sunrise': 1725595779, 'sunset': 1725642899}",7200,3054643,Budapest,200
"{'lon': -21.8954, 'lat': 64.1355}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 282.96, 'feels_like': 280.65, 'temp_min': 281.98, 'temp_max': 282.96, 'pressure': 1016, 'humidity': 81, 'sea_level': 1016, 'grnd_level': 1003}",10000,"{'speed': 4.63, 'deg': 190}",{'all': 75},1725585377,"{'type': 1, 'id': 91, 'country': 'IS', 'sunrise': 1725603951, 'sunset': 1725654372}",0,3413829,Reykjavik,200
"{'lon': 77.2311, 'lat': 28.6128}","[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,"{'temp': 300.24, 'feels_like': 304.6, 'temp_min': 300.24, 'temp_max': 300.24, 'pressure': 1003, 'humidity': 94, 'sea_level': 1003, 'grnd_level': 978}",2500,"{'speed': 1.54, 'deg': 220}",{'all': 75},1725585378,"{'type': 1, 'id': 9165, 'country': 'IN', 'sunrise': 1725582711, 'sunset': 1725628042}",19800,1261481,New Delhi,200
"{'lon': 106.8451, 'lat': -6.2146}","[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",stations,"{'temp': 302.78, 'feels_like': 306.05, 'temp_min': 302.2, 'temp_max': 304.22, 'pressure': 1011, 'humidity': 64, 'sea_level': 1011, 'grnd_level': 1008}",5000,"{'speed': 1.54, 'deg': 200}",{'all': 20},1725585379,"{'type': 1, 'id': 9383, 'country': 'ID', 'sunrise': 1725576637, 'sunset': 1725619905}",25200,1642911,Jakarta,200
"{'lon': 51.4215, 'lat': 35.6944}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 294.14, 'feels_like': 293.21, 'temp_min': 294.14, 'temp_max': 294.14, 'pressure': 1006, 'humidity': 35, 'sea_level': 1006, 'grnd_level': 859}",10000,"{'speed': 4.12, 'deg': 290}",{'all': 20},1725585225,"{'type': 1, 'id': 7464, 'country': 'IR', 'sunrise': 1725588624, 'sunset': 1725634515}",12600,112931,Tehran,200
"{'lon': 44.4009, 'lat': 33.3406}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 302.1, 'feels_like': 300.98, 'temp_min': 302.1, 'temp_max': 302.1, 'pressure': 1003, 'humidity': 30, 'sea_level': 1003, 'grnd_level': 999}",10000,"{'speed': 2.57, 'deg': 10}",{'all': 0},1725585142,"{'type': 1, 'id': 7597, 'country': 'IQ', 'sunrise': 1725590410, 'sunset': 1725636099}",10800,98182,Baghdad,200
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 288.76, 'feels_like': 288.78, 'temp_min': 288.48, 'temp_max': 289.03, 'pressure': 1016, 'humidity': 92, 'sea_level': 1016, 'grnd_level': 1002}",10000,"{'speed': 6.69, 'deg': 20}",{'all': 75},1725585302,"{'type': 2, 'id': 2046043, 'country': 'IE', 'sunrise': 1725601433, 'sunset': 1725649390}",3600,2964574,Dublin,200
"{'lon': 35.2163, 'lat': 31.769}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 292.99, 'feels_like': 293.43, 'temp_min': 292.96, 'temp_max': 292.99, 'pressure': 1009, 'humidity': 92, 'sea_level': 1009, 'grnd_level': 939}",10000,"{'speed': 0.45, 'deg': 294, 'gust': 2.24}",{'all': 1},1725585370,"{'type': 2, 'id': 2004982, 'country': 'IL', 'sunrise': 1725592678, 'sunset': 1725638238}",10800,281184,Jerusalem,200
"{'lon': 12.4839, 'lat': 41.8947}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 295.26, 'feels_like': 295.3, 'temp_min': 294.25, 'temp_max': 295.92, 'pressure': 1011, 'humidity': 68, 'sea_level': 1011, 'grnd_level': 1003}",10000,"{'speed': 2.57, 'deg': 140}",{'all': 0},1725585385,"{'type': 2, 'id': 2037613, 'country': 'IT', 'sunrise': 1725597679, 'sunset': 1725644146}",7200,3169070,Rome,200
"{'lon': -76.7936, 'lat': 17.997}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 301.02, 'feels_like': 305.53, 'temp_min': 301.02, 'temp_max': 301.02, 'pressure': 1013, 'humidity': 84, 'sea_level': 1013, 'grnd_level': 983}",10000,"{'speed': 0.79, 'deg': 67, 'gust': 0.95}",{'all': 100},1725585386,"{'type': 2, 'id': 2091678, 'country': 'JM', 'sunrise': 1725533628, 'sunset': 1725578280}",-18000,3489854,Kingston,200
"{'lon': 139.6917, 'lat': 35.6895}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 303.99, 'feels_like': 309.2, 'temp_min': 301.85, 'temp_max': 305.26, 'pressure': 1011, 'humidity': 66, 'sea_level': 1011, 'grnd_level': 1009}",10000,"{'speed': 2.24, 'deg': 77, 'gust': 2.24}",{'all': 40},1725585288,"{'type': 2, 'id': 2001249, 'country': 'JP', 'sunrise': 1725567428, 'sunset': 1725613351}",32400,1850144,Tokyo,200
"{'lon': 35.945, 'lat': 31.9552}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 288.9, 'feels_like': 288.57, 'temp_min': 288.9, 'temp_max': 288.9, 'pressure': 1009, 'humidity': 78, 'sea_level': 1009, 'grnd_level': 919}",10000,"{'speed': 2.08, 'deg': 287, 'gust': 2.24}",{'all': 0},1725585300,"{'type': 1, 'id': 7523, 'country': 'JO', 'sunrise': 1725592496, 'sunset': 1725638070}",10800,250441,Amman,200
"{'lon': 71.446, 'lat': 51.1801}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 279.12, 'feels_like': 276.2, 'temp_min': 279.12, 'temp_max': 279.12, 'pressure': 1015, 'humidity': 100, 'sea_level': 1015, 'grnd_level': 972}",10000,"{'speed': 4, 'deg': 290}",{'1h': 0.11},{'all': 75},1725585389,"{'type': 1, 'id': 8820, 'country': 'KZ', 'sunrise': 1725582932, 'sunset': 1725630598}",18000,1526273,Nur-Sultan,200
"{'lon': 36.8167, 'lat': -1.2833}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 289.33, 'feels_like': 289.14, 'temp_min': 289.33, 'temp_max': 289.33, 'pressure': 1018, 'humidity': 82, 'sea_level': 1018, 'grnd_level': 838}",10000,"{'speed': 2.93, 'deg': 91, 'gust': 4.08}",{'1h': 0.12},{'all': 99},1725585390,"{'country': 'KE', 'sunrise': 1725593307, 'sunset': 1725636840}",10800,184745,Nairobi,200
"{'lon': 172.984, 'lat': 1.419}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 305.2, 'feels_like': 312.2, 'temp_min': 305.2, 'temp_max': 305.2, 'pressure': 1010, 'humidity': 70, 'sea_level': 1010, 'grnd_level': 1010}",10000,"{'speed': 3.6, 'deg': 90}",{'all': 40},1725585391,"{'type': 1, 'id': 7300, 'country': 'KI', 'sunrise': 1725560562, 'sunset': 1725604241}",43200,7521611,Tarawa,200
"{'lon': 125.7543, 'lat': 39.0339}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 298.63, 'feels_like': 298.98, 'temp_min': 298.63, 'temp_max': 298.63, 'pressure': 1013, 'humidity': 67, 'sea_level': 1013, 'grnd_level': 1008}",10000,"{'speed': 3.62, 'deg': 77, 'gust': 4.78}",{'all': 11},1725585392,"{'country': 'KP', 'sunrise': 1725570620, 'sunset': 1725616848}",32400,1871859,Pyongyang,200
"{'lon': 126.9778, 'lat': 37.5683}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 298.76, 'feels_like': 299.13, 'temp_min': 298.76, 'temp_max': 298.76, 'pressure': 1012, 'humidity': 67, 'sea_level': 1012, 'grnd_level': 1002}",10000,"{'speed': 1.29, 'deg': 90, 'gust': 2.45}",{'1h': 0.22},{'all': 100},1725585393,"{'country': 'KR', 'sunrise': 1725570396, 'sunset': 1725616485}",32400,1835848,Seoul,200
"{'lon': 47.9783, 'lat': 29.3697}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 306.41, 'feels_like': 308.56, 'temp_min': 306.4, 'temp_max': 308.63, 'pressure': 1001, 'humidity': 45, 'sea_level': 1001, 'grnd_level': 999}",10000,"{'speed': 1.34, 'deg': 18, 'gust': 2.68}",{'all': 0},1725585193,"{'type': 2, 'id': 2036793, 'country': 'KW', 'sunrise': 1725589706, 'sunset': 1725635085}",10800,285787,Kuwait City,200
"{'lon': 74.59, 'lat': 42.87}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 284.26, 'feels_like': 282.71, 'temp_min': 284.26, 'temp_max': 284.26, 'pressure': 1011, 'humidity': 49, 'sea_level': 1011, 'grnd_level': 911}",10000,"{'speed': 2.1, 'deg': 217, 'gust': 3.64}",{'all': 93},1725585395,"{'type': 1, 'id': 8871, 'country': 'KG', 'sunrise': 1725582710, 'sunset': 1725629310}",21600,1528675,Bishkek,200
"{'lon': 102.6, 'lat': 17.9667}","[{'id': 503, 'main': 'Rain', 'description': 'very heavy rain', 'icon': '10d'}]",stations,"{'temp': 299.12, 'feels_like': 299.12, 'temp_min': 299.12, 'temp_max': 299.12, 'pressure': 1004, 'humidity': 78, 'sea_level': 1004, 'grnd_level': 982}",8000,"{'speed': 1.03, 'deg': 320}",{'1h': 17.63},{'all': 40},1725585396,"{'type': 1, 'id': 9203, 'country': 'LA', 'sunrise': 1725576979, 'sunset': 1725621600}",25200,1651944,Vientiane,200
"{'lon': 24.0833, 'lat': 57}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 288.73, 'feels_like': 288.41, 'temp_min': 286.19, 'temp_max': 288.73, 'pressure': 1028, 'humidity': 79, 'sea_level': 1028, 'grnd_level': 1027}",10000,"{'speed': 1.03, 'deg': 0}",{'all': 0},1725585397,"{'type': 2, 'id': 2075320, 'country': 'LV', 'sunrise': 1725593804, 'sunset': 1725642455}",10800,456173,Rīga,200
"{'lon': 35.4944, 'lat': 33.8889}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 296.69, 'feels_like': 297.06, 'temp_min': 296.69, 'temp_max': 296.69, 'pressure': 1008, 'humidity': 75, 'sea_level': 1008, 'grnd_level': 1001}",10000,"{'speed': 2.17, 'deg': 218, 'gust': 1.65}",{'all': 0},1725585398,"{'type': 2, 'id': 2006798, 'country': 'LB', 'sunrise': 1725592525, 'sunset': 1725638257}",10800,276781,Beirut,200
"{'lon': 27.4833, 'lat': -29.3167}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 282.72, 'feels_like': 282.72, 'temp_min': 282.72, 'temp_max': 282.72, 'pressure': 1019, 'humidity': 34, 'sea_level': 1019, 'grnd_level': 848}",10000,"{'speed': 0.27, 'deg': 166, 'gust': 0.58}",{'all': 0},1725585261,"{'country': 'LS', 'sunrise': 1725596337, 'sunset': 1725638289}",7200,932505,Maseru,200
"{'lon': -10.7969, 'lat': 6.3005}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,"{'temp': 297.74, 'feels_like': 298.55, 'temp_min': 297.74, 'temp_max': 297.74, 'pressure': 1013, 'humidity': 88, 'sea_level': 1013, 'grnd_level': 1010}",8491,"{'speed': 5.71, 'deg': 218, 'gust': 8.16}",{'1h': 1.02},{'all': 100},1725585400,"{'country': 'LR', 'sunrise': 1725604530, 'sunset': 1725648467}",0,2274895,Monrovia,200
"{'lon': 13.1875, 'lat': 32.8752}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 302.26, 'feels_like': 304.53, 'temp_min': 302.26, 'temp_max': 302.26, 'pressure': 1011, 'humidity': 61, 'sea_level': 1011, 'grnd_level': 1007}",10000,"{'speed': 0.49, 'deg': 64, 'gust': 1.36}",{'all': 100},1725585363,"{'country': 'LY', 'sunrise': 1725597923, 'sunset': 1725643564}",7200,2210247,Tripoli,200
"{'lon': 9.5215, 'lat': 47.1415}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 289.75, 'feels_like': 289.87, 'temp_min': 288.49, 'temp_max': 290.42, 'pressure': 1012, 'humidity': 92, 'sea_level': 1012, 'grnd_level': 881}",10000,"{'speed': 1.34, 'deg': 113, 'gust': 1.79}",{'all': 66},1725585402,"{'type': 2, 'id': 2043024, 'country': 'LI', 'sunrise': 1725598089, 'sunset': 1725645158}",7200,3042030,Vaduz,200
"{'lon': 25.2798, 'lat': 54.6892}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 288.64, 'feels_like': 288.26, 'temp_min': 288.55, 'temp_max': 288.64, 'pressure': 1026, 'humidity': 77, 'sea_level': 1026, 'grnd_level': 1007}",10000,"{'speed': 2.06, 'deg': 100}",{'all': 0},1725585403,"{'type': 1, 'id': 1883, 'country': 'LT', 'sunrise': 1725593736, 'sunset': 1725641948}",10800,593116,Vilnius,200
"{'lon': 6.13, 'lat': 49.6117}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]",stations,"{'temp': 288.38, 'feels_like': 288.44, 'temp_min': 287.54, 'temp_max': 288.89, 'pressure': 1010, 'humidity': 95, 'sea_level': 1010, 'grnd_level': 974}",2000,"{'speed': 1.54, 'deg': 280}",{'1h': 3.16},{'all': 75},1725585404,"{'type': 2, 'id': 2018798, 'country': 'LU', 'sunrise': 1725598739, 'sunset': 1725646135}",7200,2960316,Luxembourg,200
"{'lon': 47.5361, 'lat': -18.9137}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 287.13, 'feels_like': 287.19, 'temp_min': 287.13, 'temp_max': 287.13, 'pressure': 1023, 'humidity': 100, 'sea_level': 1023, 'grnd_level': 882}",10000,"{'speed': 2.57, 'deg': 150}",{'all': 75},1725585405,"{'type': 1, 'id': 2136, 'country': 'MG', 'sunrise': 1725591213, 'sunset': 1725633791}",10800,1070940,Antananarivo,200
"{'lon': 33.7873, 'lat': -13.9669}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 290.77, 'feels_like': 289.95, 'temp_min': 290.77, 'temp_max': 290.77, 'pressure': 1018, 'humidity': 52, 'sea_level': 1018, 'grnd_level': 901}",10000,"{'speed': 1.09, 'deg': 136, 'gust': 1.77}",{'all': 97},1725585406,"{'country': 'MW', 'sunrise': 1725594373, 'sunset': 1725637229}",7200,927967,Lilongwe,200
"{'lon': 101.6865, 'lat': 3.1431}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 300.35, 'feels_like': 304.23, 'temp_min': 300.35, 'temp_max': 300.35, 'pressure': 1010, 'humidity': 88, 'sea_level': 1010, 'grnd_level': 997}",10000,"{'speed': 1.14, 'deg': 154, 'gust': 1.61}",{'all': 100},1725585384,"{'type': 2, 'id': 2078483, 'country': 'MY', 'sunrise': 1725577624, 'sunset': 1725621394}",28800,1733046,Kuala Lumpur,200
"{'lon': 73.5089, 'lat': 4.1748}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 302.12, 'feels_like': 307.59, 'temp_min': 302.12, 'temp_max': 302.12, 'pressure': 1011, 'humidity': 79, 'sea_level': 1011, 'grnd_level': 1011}",10000,"{'speed': 4.12, 'deg': 290}",{'all': 75},1725585408,"{'type': 1, 'id': 9232, 'country': 'MV', 'sunrise': 1725584357, 'sunset': 1725628183}",18000,1282027,Malé,200
"{'lon': -8, 'lat': 12.65}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,"{'temp': 297.38, 'feels_like': 298.47, 'temp_min': 297.38, 'temp_max': 297.38, 'pressure': 1010, 'humidity': 100, 'sea_level': 1010, 'grnd_level': 972}",10000,"{'speed': 2.06, 'deg': 220}",{'1h': 1.05},{'all': 20},1725585409,"{'type': 1, 'id': 2354, 'country': 'ML', 'sunrise': 1725603683, 'sunset': 1725647972}",0,2460596,Bamako,200
"{'lon': 14.5147, 'lat': 35.8997}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 300.45, 'feels_like': 305.27, 'temp_min': 300.45, 'temp_max': 300.92, 'pressure': 1012, 'humidity': 94, 'sea_level': 1012, 'grnd_level': 1010}",10000,"{'speed': 1.54, 'deg': 190}",{'all': 20},1725585410,"{'type': 1, 'id': 6861, 'country': 'MT', 'sunrise': 1725597477, 'sunset': 1725643373}",7200,2562305,Valletta,200
"{'lon': 171.3803, 'lat': 7.0897}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 304.13, 'feels_like': 310.7, 'temp_min': 304.13, 'temp_max': 304.13, 'pressure': 1011, 'humidity': 70, 'sea_level': 1011, 'grnd_level': 1010}",10000,"{'speed': 1.03, 'deg': 20}",{'all': 40},1725585411,"{'type': 1, 'id': 7894, 'country': 'MH', 'sunrise': 1725560791, 'sunset': 1725604782}",43200,2113779,Majuro,200
"{'lon': -15.9785, 'lat': 18.0858}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 298.11, 'feels_like': 298.46, 'temp_min': 298.11, 'temp_max': 298.11, 'pressure': 1008, 'humidity': 69, 'sea_level': 1008, 'grnd_level': 1008}",10000,"{'speed': 9.12, 'deg': 333, 'gust': 10.79}",{'all': 100},1725585413,"{'type': 1, 'id': 2482, 'country': 'MR', 'sunrise': 1725605438, 'sunset': 1725650046}",0,2377450,Nouakchott,200
"{'lon': 57.4989, 'lat': -20.1619}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 293.94, 'feels_like': 294.5, 'temp_min': 293.94, 'temp_max': 295.05, 'pressure': 1022, 'humidity': 93, 'sea_level': 1022, 'grnd_level': 1021}",10000,"{'speed': 5.77, 'deg': 113, 'gust': 9.16}",{'all': 83},1725585414,"{'type': 2, 'id': 2091727, 'country': 'MU', 'sunrise': 1725588859, 'sunset': 1725631364}",14400,934154,Port Louis,200
"{'lon': -99.1277, 'lat': 19.4285}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 292.01, 'feels_like': 291.96, 'temp_min': 292.01, 'temp_max': 292.11, 'pressure': 1014, 'humidity': 77, 'sea_level': 1014, 'grnd_level': 764}",10000,"{'speed': 6.17, 'deg': 30}",{'1h': 0.83},{'all': 100},1725585391,"{'type': 2, 'id': 47729, 'country': 'MX', 'sunrise': 1725538943, 'sunset': 1725583683}",-21600,3530597,Mexico City,200
"{'lon': 158.1611, 'lat': 6.9248}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 302.56, 'feels_like': 309.56, 'temp_min': 302.56, 'temp_max': 302.62, 'pressure': 1012, 'humidity': 84, 'sea_level': 1012, 'grnd_level': 1001}",10000,"{'speed': 5.14, 'deg': 130}",{'all': 75},1725585416,"{'type': 1, 'id': 7907, 'country': 'FM', 'sunrise': 1725563968, 'sunset': 1725607949}",39600,2081986,Palikir,200
"{'lon': 28.8575, 'lat': 47.0056}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 288.67, 'feels_like': 288.86, 'temp_min': 288.67, 'temp_max': 291.39, 'pressure': 1016, 'humidity': 99, 'sea_level': 1016, 'grnd_level': 1001}",10000,"{'speed': 1.54, 'deg': 0}",{'all': 100},1725585417,"{'type': 2, 'id': 2002036, 'country': 'MD', 'sunrise': 1725593452, 'sunset': 1725640515}",10800,618426,Chișinău,200
"{'lon': 7.419, 'lat': 43.7314}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 294.13, 'feels_like': 293.95, 'temp_min': 293.95, 'temp_max': 296.16, 'pressure': 1010, 'humidity': 64, 'sea_level': 1010, 'grnd_level': 1006}",10000,"{'speed': 5.14, 'deg': 330}",{'all': 20},1725585418,"{'type': 1, 'id': 6515, 'country': 'MC', 'sunrise': 1725598796, 'sunset': 1725645459}",7200,2993457,Monaco,200
"{'lon': 106.8832, 'lat': 47.9077}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 284.22, 'feels_like': 283.11, 'temp_min': 284.22, 'temp_max': 284.22, 'pressure': 1012, 'humidity': 66, 'sea_level': 1012, 'grnd_level': 848}",10000,"{'speed': 0, 'deg': 0}",{'all': 0},1725585419,"{'type': 1, 'id': 9644, 'country': 'MN', 'sunrise': 1725574651, 'sunset': 1725621873}",28800,2028462,Ulaanbaatar,200
"{'lon': 19.2636, 'lat': 42.4411}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 296.03, 'feels_like': 296.15, 'temp_min': 296.03, 'temp_max': 296.03, 'pressure': 1013, 'humidity': 68, 'sea_level': 1013, 'grnd_level': 976}",10000,"{'speed': 2.57, 'deg': 320}",{'all': 40},1725585420,"{'type': 1, 'id': 7035, 'country': 'ME', 'sunrise': 1725596022, 'sunset': 1725642550}",7200,3193044,Podgorica,200
"{'lon': -6.8401, 'lat': 33.9911}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 291.19, 'feels_like': 291.66, 'temp_min': 291.19, 'temp_max': 291.19, 'pressure': 1008, 'humidity': 100, 'sea_level': 1008, 'grnd_level': 1001}",5000,"{'speed': 0, 'deg': 0}",{'all': 5},1725585299,"{'type': 1, 'id': 2402, 'country': 'MA', 'sunrise': 1725602686, 'sunset': 1725648412}",3600,2538474,Rabat,200
"{'lon': 32.5892, 'lat': -25.9653}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 292.16, 'feels_like': 291.97, 'temp_min': 292.16, 'temp_max': 292.16, 'pressure': 1017, 'humidity': 71, 'sea_level': 1017, 'grnd_level': 1009}",10000,"{'speed': 1.02, 'deg': 2, 'gust': 3.96}",{'all': 0},1725585422,"{'type': 2, 'id': 2030503, 'country': 'MZ', 'sunrise': 1725595006, 'sunset': 1725637170}",7200,1040652,Maputo,200
"{'lon': 96.1345, 'lat': 19.754}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 298.73, 'feels_like': 299.69, 'temp_min': 298.73, 'temp_max': 298.73, 'pressure': 1006, 'humidity': 90, 'sea_level': 1006, 'grnd_level': 992}",10000,"{'speed': 2.43, 'deg': 169, 'gust': 3.92}",{'all': 37},1725585423,"{'country': 'MM', 'sunrise': 1725578475, 'sunset': 1725623207}",23400,6611854,Naypyidaw,200
